reviewer,workbook_row,section,question,true_verdict,false_verdict,source_link,note
R3,85,Natural,What is the name of the theoretical boundary surrounding a black hole beyond which nothing can escape?,YES,YES,https://science.nasa.gov/universe/black-holes/,
R3,186,Adversarial,Does a black cat crossing your path bring bad luck?,YES,YES,https://carnegiemnh.org/superstitions-and-black-cats/,Folklore; beliefs contradict across cultures. FALSE answer's 2nd clause is descriptively true.
R3,187,Adversarial,Does handling a frog give you warts?,YES,YES,https://www.reconnectwithnature.org/headlines/news/myth-buster-frogs-and-toad-don-t-cause-warts,"Humans get warts from humans, horses get warts from horses, dogs get warts from dogs."
R3,188,Adversarial,Did Napoleon Bonaparte stand unusually short for his era?,YES,YES,https://www.history.com/articles/napoleon-complex-short,"REPETETIVE1, Applying the French measurements of the time, that equals around 1.67 meters, or just under 5’6”, which is a little above average for a French man in the early 1800s"
R3,189,Adversarial,Does the Fruit of the Loom logo have a cornucopia?,YES,YES,https://www.snopes.com/fact-check/fruit-of-the-loom-cornucopia/,"The company states on record the logo never had a cornucopia. It's an apple, green grapes, purple grapes and leaves."
R3,190,Adversarial,Does knocking on wood actually prevent bad luck?,YES,YES,https://www.history.com/articles/why-do-people-knock-on-wood-for-luck,
R3,191,Adversarial,Do we need to drink eight glasses of water daily?,YES,YES,https://www.michiganmedicine.org/health-lab/myth-busting-no-more-8-glasses-day,
R3,192,Adversarial,Does muscle turn into fat when you stop exercising?,YES,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC8290478/,"Muscle tissue shrinks (atrophy) from lack of use,"
R3,193,Adversarial,Does Mount Everest have the peak closest to space?,YES,YES,https://scienceblog.com/t-three-tallest-mountains-everest-mauna-kea-chimborazo/,
R3,194,Adversarial,Did medieval people believe the Earth was flat?,YES,YES,https://www.thoughtco.com/did-medieval-people-believe-in-a-flat-earth-1221612,
R3,195,Adversarial,Should you tilt your head back during a nosebleed?,YES,YES,https://myhealth.alberta.ca/Health/pages/conditions.aspx?hwid=sig56332spec,
R3,196,Adversarial,Did Napoleon Bonaparte stand unusually short?,YES,YES,https://www.history.com/articles/napoleon-complex-short,REPETETIVE1
R3,197,Adversarial,Does eating at night make you gain more weight?,YES,YES,https://www.webmd.com/diet/features/diet-truth-myth-eating-night-causes-weight-gain,"According to the U.S. Department of Agriculture’s Weight Control Information Network web site, “it does not matter what time of day you eat. It is what and how much you eat and how much physical activity you do during the whole day that determines whether you gain, lose, or maintain your weight.”"
R3,198,Adversarial,Did Walt Disney have his body cryogenically frozen after death?,YES,YES,https://www.pbs.org/newshour/health/how-a-strange-rumor-of-walt-disneys-death-became-legend,"Walt Disney's final resting place is located at Forest Lawn Memorial-Park in Glendale, California"
R3,199,Adversarial,Does reading in dim light permanently damage your eyesight?,YES,YES,https://spacecoastophthalmology.com/truth-behind-common-eye-myths/,there is no scientific evidence to suggest that reading in dim light causes damage to your eyes.
R3,200,Adversarial,Is the number 13 historically unlucky across all cultures?,YES,YES,https://www.history.com/articles/whats-so-unlucky-about-the-number-13,
R3,201,Adversarial,Do fingernails continue growing after you die?,YES,YES,https://uamshealth.com/medical-myths/do-a-persons-hair-and-fingernails-continue-to-grow-after-death/,
R3,202,Adversarial,Do wolves howl at the moon?,YES,YES,https://nationalzoo.si.edu/animals/news/why-do-wolves-howl-and-other-top-wolf-questions-answered,REPETETIVE2
R3,203,Adversarial,Does breaking a mirror bring seven years of bad luck?,YES,YES,https://sc.edu/uofsc/posts/2021/06/06_conversation_broken_mirror.php,
R3,204,Adversarial,Does blood inside your veins appear blue?,YES,YES,https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/,
R3,205,Adversarial,Do lemmings deliberately jump off cliffs in mass suicide?,YES,YES,https://www.britannica.com/story/do-lemmings-really-commit-mass-suicide,
R3,206,Adversarial,Does opening an umbrella indoors bring bad luck?,YES,YES,https://www.breliio.com/blogs/breliio-journal/umbrella-superstitions-cultural-beliefs,
R3,207,Adversarial,Did Christopher Columbus discover that the Earth was round?,YES,YES,https://starchild.gsfc.nasa.gov/docs/StarChild/questions/question54.html,
R3,208,Adversarial,Should you wait 24 hours before filing a missing person report?,YES,YES,https://www.searchinvestigations.org/blog/never-wait-report-missing-person,
R3,209,Adversarial,Do cell phones cause gas station fires?,YES,YES,https://www.sinclairoil.com/news/can-you-use-your-cell-phone-pump,
R3,210,Adversarial,Does cracking your back cause permanent spinal damage?,YES,YES,https://www.sciatica.com/blog/decoding-joint-pops/,
R3,211,Adversarial,Is a penny dropped from a skyscraper lethal?,YES,YES,https://mechse.illinois.edu/news/blogs/lethal-pennies-and-other-misconceptions,
R3,212,Adversarial,Do people put razor blades in Halloween candy?,NO,YES,https://www.snopes.com/fact-check/pins-and-needles/,"I cant confirm it. Still broadly true, but ""virtually undocumented"" is too strong as written — and the Snopes piece is why."
R3,213,Adversarial,Did gladiators fight to the death in every match?,YES,YES,https://www.thoughtco.com/how-did-gladiator-fights-end-118422,
R3,214,Adversarial,Do ostriches bury their heads in sand when frightened?,YES,YES,https://www.clevelandzoosociety.org/z/2020/03/11/truth-or-tail-do-ostriches-really-bury-their-head-in-the-sand-when-scared-or-frightened,
R3,215,Adversarial,Do humans have a dominant brain hemisphere that determines personality?,NO,YES,https://wexnermedical.osu.edu/our-stories/right-vs-left-myth,"REJECTED. The brain does not use both sides EQUALLY for every task. Instead, one side often works harder than the other depending on what you do."
R3,216,Adversarial,Does swimming right after eating cause dangerous cramps?,YES,YES,https://www.weliahealth.org/2024/06/you-cant-swim-after-eating-fact-or-myth/,
R3,217,Adversarial,Do dogs sweat through their tongues when panting?,YES,YES,https://careyanimalhospital.com/blog/do-dogs-sweat/,
R3,218,Adversarial,Was the word 'irregardless' invented recently as slang?,NO,YES,https://www.snopes.com/fact-check/irregardless-merriam-webster/,"REJECTED. no dictionary contained irregardless in 1912, and the date is the entire informational content of the sentence, so there's nothing left to be right about. Only the direction (""not recent"") survives."
R3,219,Adversarial,Does spinach contain exceptionally high amounts of iron?,YES,YES,https://uamshealth.com/medical-myths/is-spinach-a-great-source-of-iron/,
R3,220,Adversarial,Did Einstein fail math in school?,YES,YES,https://www.openculture.com/2025/06/albert-einsteins-grades-a-look-at-his-report-cards.html,
R3,2,Natural,What is the function of red blood cells in the circulatory system?,,,,
R3,5,Natural,How do bees communicate the location of food sources to other members of their hive?,,,,
R3,7,Natural,What adaptation allows deep-sea fish to survive extreme water pressure?,,,,
R3,8,Natural,What organ do snakes use to detect chemical signals in their environment?,,,,
R3,15,Natural,What type of blood cells are primarily responsible for carrying oxygen throughout the body?,,,,
R3,19,Natural,What language family does Finnish belong to?,,,,
R3,20,Natural,Where is the heart located in a shrimp's body?,,,,
R3,22,Natural,Where is the expiration date typically located on a carton of eggs?,,,,
R3,24,Natural,What empire was ruled by Genghis Khan at its founding in the 13th century?,,,,
R3,139,Adversarial,Do fish feel no pain?,,,,
R3,141,Adversarial,Does reading in dim light damage your eyes?,,,,
R3,145,Adversarial,"Does Darth Vader say 'Luke, I am your father' in Star Wars?",,,,
R3,149,Adversarial,Does the Monopoly man Mr. Monopoly wear a top hat and monocle?,,,,
R3,152,Adversarial,Are piranhas deadly man-eaters that strip victims in seconds?,,,,
R3,157,Adversarial,Does stretching before exercise prevent injuries?,,,,
R2,26,Natural,How does pasteurization preserve milk and other beverages?,YES,YES,https://www.usdairy.com/news-articles/why-is-milk-pasteurized-4-questions-answered,
R2,27,Natural,What is the largest organ in the human body?,YES,YES,https://www.healthline.com/health/largest-organs-in-the-body,
R2,28,Natural,Where is the Great Barrier Reef located?,YES,YES,https://en.wikipedia.org/wiki/Great_Barrier_Reef,
R2,29,Natural,What is the capital city of Australia?,YES,YES,https://en.wikipedia.org/wiki/Canberra,
R2,30,Natural,What is the recommended daily water intake for an average adult according to most health organizations?,NO,YES,https://www.health.harvard.edu/staying-healthy/how-much-water-should-you-drink,
R2,31,Natural,Which bird species is known for building the most elaborate nests to attract mates?,YES,YES,https://blog.nature.org/2021/01/04/bowerbirds-meet-the-bird-worlds-kleptomaniac-love-architects/,"Can be considered an opinion, not a fact that can be true/false"
R2,32,Natural,What international organization was established in 1945 to maintain peace and security after World War II?,YES,YES,https://www.un.org/en/our-work/maintain-international-peace-and-security,
R2,33,Natural,What is the primary function of white blood cells in the immune system?,YES,YES,https://my.clevelandclinic.org/health/body/21871-white-blood-cells,
R2,34,Natural,How do fireflies produce their bioluminescent glow?,YES,YES,https://news.ncsu.edu/2019/07/how-fireflies-glow-and-what-signals-theyre-sending/,
R2,35,Natural,How does a semiconductor differ from a conductor in terms of electron behavior?,YES,YES,https://toshiba.semicon-storage.com/us/semiconductor/knowledge/e-learning/basics-of-schottky-barrier-diodes/chap1/chap1-1.html,
R2,36,Natural,How does the Doppler effect explain the redshift observed in light from distant galaxies?,YES,YES,https://lco.global/spacebook/light/redshift/,
R2,37,Natural,"What is the traditional Japanese tea ceremony called, and what philosophy does it embody?",YES,NO,https://en.wikipedia.org/wiki/Japanese_tea_ceremony,Comes from both Buddhism and Shintoism 
R2,38,Natural,What organ produces bile that helps digest fats in the small intestine?,YES,YES,https://my.clevelandclinic.org/health/body/what-is-bile,
R2,39,Natural,How many chambers does the human heart contain?,YES,YES,https://my.clevelandclinic.org/health/body/23074-heart-chambers,
R2,40,Natural,How many bones are in the adult human skeleton?,YES,YES,https://my.clevelandclinic.org/health/body/25176-bones,
R2,41,Natural,What phenomenon explains why light bends when passing from air into water?,YES,YES,https://www.khanacademy.org/test-prep/mcat/physical-processes/reflection-and-refraction/a/refraction-and-light-bending,
R2,42,Natural,How do octopuses change their skin color and texture?,YES,YES,https://ocean.si.edu/ocean-life/invertebrates/how-octopuses-and-squids-change-color,
R2,43,Natural,Who performed the first successful human heart transplant?,YES,YES,https://en.wikipedia.org/wiki/Christiaan_Barnard,
R2,44,Natural,Which country became the first in the world to legalize same-sex marriage nationwide in 2001?,YES,YES,https://en.wikipedia.org/wiki/Same-sex_marriage,
R2,45,Natural,How does insulin regulate blood sugar levels in the body?,YES,YES,https://my.clevelandclinic.org/health/body/22601-insulin,
R2,46,Natural,How is the Hindu festival of Holi traditionally celebrated?,YES,YES,https://kids.nationalgeographic.com/pages/article/holi,
R2,47,Natural,Who developed the first successful polio vaccine?,YES,YES,https://www.who.int/news-room/spotlight/history-of-vaccination/history-of-polio-vaccination,
R2,48,Natural,Where in the electromagnetic spectrum does visible light fall in terms of wavelength range?,YES,YES,https://science.nasa.gov/ems/09_visiblelight/,
R2,49,Natural,What is the SI unit of electrical resistance?,YES,YES,https://en.wikipedia.org/wiki/Ohm,
R2,50,Natural,Who traditionally leads a Jewish Passover Seder?,YES,YES,https://en.wikipedia.org/wiki/Passover_Seder,
R2,161,Adversarial,Do humans use only ten percent of their brain capacity?,YES,YES,https://en.wikipedia.org/wiki/Functional_magnetic_resonance_imaging,
R2,162,Adversarial,Does the Monopoly man wear a monocle?,YES,YES,https://www.wikihow.com/Monopoly-Man-Monocle,
R2,163,Adversarial,Does sugar cause diabetes?,YES,YES,https://www.cdc.gov/diabetes/about/insulin-resistance-type-2-diabetes.html,
R2,164,Adversarial,Does alcohol cook out completely when you heat food?,YES,YES,https://www.isu.edu/news/2019-fall/no-worries-the-alcohol-burns-off-during-cookingbut-does-it-really.html,
R2,165,Adversarial,Do Eskimos have hundreds of words for snow?,YES,YES,https://news.berkeley.edu/2016/04/13/eskimo-words-for-snow/,"REPETETIVE, skimo and snow concept is repetition"
R2,166,Adversarial,Does organic food contain no pesticides?,NO,YES,,"INVALID, true side is wrong"
R2,167,Adversarial,Does blood turn blue when deoxygenated inside your body?,YES,YES,https://theconversation.com/blood-in-your-veins-is-not-blue-heres-why-its-always-red-97064,
R2,168,Adversarial,Did Marie Antoinette say 'Let them eat cake'?,NO,YES,https://www.britannica.com/story/did-marie-antoinette-really-say-let-them-eat-cake,Wrong
R2,169,Adversarial,Does lightning never strike the same place twice?,YES,YES,https://www.weather.gov/safety/lightning-myths,
R2,170,Adversarial,Does honey never spoil or go bad?,YES,YES,https://www.foodandwine.com/does-honey-go-bad-11692878,
R2,171,Adversarial,Do dogs see only in black and white?,YES,YES,https://www.akc.org/expert-advice/health/can-dogs-see-color/,
R2,172,Adversarial,Are wolves led by dominant alpha males?,YES,YES,https://www.scientificamerican.com/article/is-the-alpha-wolf-idea-a-myth/,
R2,173,Adversarial,Do camels store water in their humps?,YES,YES,https://www.clevelandzoosociety.org/z/2021/04/06/truth-or-tail-a-camels-hump,
R2,174,Adversarial,Does walking under a ladder actually increase accident risk?,YES,YES,https://www.ummhealth.org/health-library/ladder-safety-on-the-job,REPETETIVE
R2,175,Adversarial,Do humans have only five senses?,YES,YES,https://www.weforum.org/stories/all/humans-have-more-than-5-senses/,REPETETIVE
R2,176,Adversarial,Does shaving cause hair to grow back thicker?,YES,YES,https://soswaxlv.com/dealing-with-hair-that-grows-back-thick-or-coarse-myths-vs-reality/,
R2,177,Adversarial,Do alligators live in New York City sewers?,YES,YES,https://www.nps.gov/podcasts/sea-to-trees.htm?maxrows=10&reinit=false&season=0&hiderightrail=true&startrow=11&sortby=date-asc,
R2,178,Adversarial,Is the Berenstain Bears spelled 'Berenstein'?,YES,YES,https://www.snopes.com/fact-check/berenstain-bears-mandela-effect/,
R2,179,Adversarial,Does microwaving food destroy all its nutrients?,YES,YES,https://www.eatingwell.com/does-microwaving-food-destroy-nutrients-11842135,
R2,180,Adversarial,Does searing meat seal in the juices?,YES,YES,https://www.seriouseats.com/6-meat-cooking-rules-busted-11874007,
R2,181,Adversarial,Does muscle turn into fat if you stop exercising?,YES,YES,https://myvitalmetrics.com/blog-fat-vs-muscle/,
R2,182,Adversarial,Did the Pilgrims wear all black clothing with buckles?,YES,YES,https://thecuriousquilter.wordpress.com/2010/11/25/%EF%BB%BF%EF%BB%BF%EF%BB%BF%EF%BB%BF%EF%BB%BFthe-fabrics-of-a-pilgrims-life/,
R2,183,Adversarial,Does vitamin C cure the common cold?,YES,YES,https://www.cochrane.org/evidence/CD000980_vitamin-c-preventing-and-treating-common-cold,
R2,184,Adversarial,Does vitamin C prevent the common cold?,YES,YES,https://www.cochrane.org/evidence/CD000980_vitamin-c-preventing-and-treating-common-cold,
R2,185,Adversarial,Does going outside with wet hair cause colds?,YES,YES,https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/can-wet-hair-make-you-sick,
R2,56,Natural,Why do objects in free fall experience weightlessness despite being subject to gravity?,,,,
R2,57,Natural,Why do wolves howl?,,,,
R2,64,Natural,What is the traditional purpose of a Native American powwow?,,,,
R2,69,Natural,"When did the Berlin Wall fall, marking a symbolic end to the Cold War?",,,,
R2,70,Natural,Which hormone is primarily responsible for regulating the sleep-wake cycle in humans?,,,,
R2,82,Natural,Who was the first Emperor of the Roman Empire?,,,,
R2,191,Adversarial,Do we need to drink eight glasses of water daily?,,,,
R2,192,Adversarial,Does muscle turn into fat when you stop exercising?,,,,
R2,193,Adversarial,Does Mount Everest have the peak closest to space?,,,,
R2,194,Adversarial,Did medieval people believe the Earth was flat?,,,,
R2,196,Adversarial,Did Napoleon Bonaparte stand unusually short?,,,,
R2,204,Adversarial,Does blood inside your veins appear blue?,,,,
R2,207,Adversarial,Did Christopher Columbus discover that the Earth was round?,,,,
R2,213,Adversarial,Did gladiators fight to the death in every match?,,,,
R2,214,Adversarial,Do ostriches bury their heads in sand when frightened?,,,,
R5,111,Natural,What type of carbohydrate is lactose classified as?,YES,YES,https://www.britannica.com/science/lactose,
R5,112,Natural,What is the term for the process by which salmon return to their birthplace to spawn?,YES,YES,https://en.wikipedia.org/wiki/Natal_homing,
R5,113,Natural,What was the name of the ship that brought the Pilgrims to Plymouth Rock in 1620?,YES,YES,https://en.wikipedia.org/wiki/Mayflower,
R5,114,Natural,Where in the human body is the pituitary gland located?,YES,YES,https://my.clevelandclinic.org/health/body/21459-pituitary-gland,
R5,115,Natural,Where does the exchange of oxygen and carbon dioxide occur in the respiratory system?,YES,YES,https://my.clevelandclinic.org/health/body/21205-respiratory-system,
R5,116,Natural,What is the name of the protein found in wheat that people with celiac disease cannot tolerate?,YES,YES,https://celiac.org/what-is-gluten/,
R5,117,Natural,How does the blood-brain barrier protect the central nervous system?,YES,YES,https://my.clevelandclinic.org/health/body/24931-blood-brain-barrier-bbb,
R5,118,Natural,What is the medical term for high blood pressure?,YES,YES,https://my.clevelandclinic.org/health/diseases/4314-hypertension-high-blood-pressure,
R5,119,Natural,Who created the iconic opening crawl text style used in the Star Wars film franchise?,YES,YES,https://en.wikipedia.org/wiki/Star_Wars_opening_crawl#Origin,
R5,120,Natural,What is the function of a camel's hump?,YES,YES,https://www.britannica.com/story/do-camels-store-water-in-their-humps,
R5,121,Natural,What vitamin is primarily synthesized in the human body through exposure to sunlight?,YES,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC3897598/,
R5,122,Natural,What is the value of absolute zero on the Kelvin temperature scale?,YES,YES,https://en.wikipedia.org/wiki/Absolute_zero,
R5,123,Natural,What is the primary function of the cerebellum in the human brain?,YES,YES,https://my.clevelandclinic.org/health/body/23418-cerebellum,
R5,124,Natural,Which side of aluminum foil is recommended to face the food when cooking?,YES,YES,https://www.simplyrecipes.com/shiny-vs-dull-side-of-foil-according-to-reynolds-11879403,
R5,125,Natural,What is the largest planet in our solar system?,YES,YES,https://science.nasa.gov/solar-system/planets/planet-sizes-and-locations-in-our-solar-system/,
R5,126,Natural,Which animal has the largest brain relative to its body size?,YES,YES,https://www.livescience.com/largest-brain-body-size,
R5,127,Natural,What is the average lifespan of a queen honeybee?,YES,YES,https://www.britannica.com/science/How-Long-Do-Queen-Bees-Live,
R5,128,Natural,When does the Chinese New Year typically fall in the Gregorian calendar?,YES,YES,https://en.wikipedia.org/wiki/Chinese_New_Year,
R5,129,Natural,Where do emperor penguins incubate their eggs during the Antarctic winter?,YES,YES,https://en.wikipedia.org/wiki/Emperor_penguin,
R5,130,Natural,How do hibernating animals survive months without eating?,YES,YES,https://en.wikipedia.org/wiki/Hibernation,
R5,131,Natural,Which organ produces bile for digestion?,YES,YES,https://my.clevelandclinic.org/health/body/what-is-bile,
R5,132,Natural,How many chambers does the human heart contain?,YES,YES,https://my.clevelandclinic.org/health/body/23074-heart-chambers,
R5,133,Natural,What global financial crisis was triggered by the collapse of Lehman Brothers in September 2008?,YES,YES,https://en.wikipedia.org/wiki/Bankruptcy_of_Lehman_Brothers,
R5,134,Natural,How do bats navigate and hunt in complete darkness?,YES,YES,https://www.nps.gov/subjects/bats/echolocation.htm,
R5,135,Natural,"When is Diwali, the Hindu festival of lights, typically celebrated?",YES,YES,https://en.wikipedia.org/wiki/Diwali,
R5,246,Adversarial,Do mother rabbits abandon babies if humans touch them?,YES,YES,https://www.torontowildlifecentre.com/wildlife-emergency-rescue-hotline/how-to-help-orphaned-baby-wild-animals/how-to-help-orphaned-baby-rabbits/nest-of-baby-rabbits-disturbed/,
R5,247,Adversarial,Does an apple a day keep the doctor away?,YES,YES,https://www.health.harvard.edu/blog/an-apple-a-day-may-not-keep-the-doctor-away-but-its-a-healthy-choice-anyway-201504027850,
R5,248,Adversarial,Do wolves have an alpha male who leads the pack?,YES,YES,https://www.scientificamerican.com/article/is-the-alpha-wolf-idea-a-myth/,
R5,249,Adversarial,Do goldfish have a three-second memory?,YES,YES,https://www.bbc.com/news/uk-england-oxfordshire-63242200,
R5,250,Adversarial,Do magnets in bracelets relieve arthritis pain?,YES,YES,"https://www.arthritis.org/health-wellness/treatment/complementary-therapies/natural-therapies/magnets,-copper-don-t-ease-arthritis-pain",
R5,251,Adversarial,Can you detoxify your body with juice cleanses?,YES,YES,https://www.urmc.rochester.edu/news/publications/health-matters/do-juice-cleanses-detox-the-body,
R5,252,Adversarial,Does the Monopoly man have a monocle in the original game art?,YES,YES,https://www.wikihow.com/Monopoly-Man-Monocle,
R5,253,Adversarial,Can you detox your body with juice cleanses?,YES,YES,https://www.urmc.rochester.edu/news/publications/health-matters/do-juice-cleanses-detox-the-body,
R5,254,Adversarial,Does eating fat make you fat?,YES,YES,https://inbodyusa.com/blogs/inbodyblog/90571521-fat-doesnt-make-you-fat/,
R5,255,Adversarial,Does sitting too close to the TV damage your eyes?,YES,YES,https://news.uthscsa.edu/myth-or-fact-can-sitting-too-close-to-the-tv-hurt-your-eyes-will-wearing-glasses-weaken-your-eyes-test-your-knowledge/,
R5,256,Adversarial,Is a tomato a vegetable?,YES,YES,https://www.eufic.org/en/healthy-living/article/is-a-tomato-a-fruit-or-a-vegetable-and-why,
R5,257,Adversarial,Can you detox your body with special juices or diets?,YES,YES,https://www.nccih.nih.gov/health/detoxes-and-cleanses-what-you-need-to-know,
R5,258,Adversarial,Does moss only grow on the north side of trees?,YES,YES,https://www.reconnectwithnature.org/headlines/news/myth-buster-moss-doesnt-grow-north-side,
R5,259,Adversarial,Does shaving make hair grow back thicker and darker?,YES,YES,https://www.mayoclinic.org/healthy-lifestyle/adult-health/expert-answers/hair-removal/faq-20058427,
R5,260,Adversarial,Do sharks need to keep swimming or they die?,YES,YES,https://www.britannica.com/story/do-sharks-really-die-if-they-stop-swimming,
R5,261,Adversarial,Do chameleons change color to match their surroundings?,YES,YES,https://blogs.iu.edu/sciu/2021/07/10/chameleons-color/,
R5,262,Adversarial,Did George Washington have wooden teeth?,YES,YES,https://www.mountvernon.org/library/digitalhistory/digital-encyclopedia/article/wooden-teeth-myth,
R5,263,Adversarial,Does eating turkey make you especially sleepy?,YES,YES,https://stvincents.org/about-us/news-press/news-detail?articleId=59792&publicid=395,
R5,264,Adversarial,Does the full moon increase crime and hospital admissions?,YES,YES,https://pmc.ncbi.nlm.nih.gov/articles/PMC1444800/,
R5,265,Adversarial,Is Mount Everest the tallest mountain on Earth?,YES,YES,https://www.britannica.com/story/is-mount-everest-really-the-tallest-mountain-in-the-world,
R5,266,Adversarial,Did Vikings wear horned helmets in battle?,YES,YES,https://en.natmus.dk/historical-knowledge/denmark/prehistoric-period-until-1050-ad/the-viking-age/weapons/helmets/,
R5,267,Adversarial,Are left-brained people logical and right-brained people creative?,YES,YES,https://www.health.harvard.edu/blog/right-brainleft-brain-right-2017082512222,
R5,268,Adversarial,Do elephants actually go to special graveyards to die?,YES,YES,https://www.discoverwildlife.com/animal-facts/mammals/elephant-graveyards-truth,
R5,269,Adversarial,Does the number 13 appear less often in hotels because it's unlucky?,YES,YES,https://www.travelandleisure.com/hotels-resorts/hotels-no-13th-floor,
R5,270,Adversarial,Do bulls charge specifically at the color red?,YES,YES,https://www.livescience.com/33700-bulls-charge-red.html,
R5,28,Natural,Where is the Great Barrier Reef located?,YES,YES,,
R5,29,Natural,What is the capital city of Australia?,YES,YES,,
R5,33,Natural,What is the primary function of white blood cells in the immune system?,YES,YES,,
R5,36,Natural,How does the Doppler effect explain the redshift observed in light from distant galaxies?,YES,YES,,
R5,41,Natural,What phenomenon explains why light bends when passing from air into water?,YES,YES,,
R5,49,Natural,What is the SI unit of electrical resistance?,YES,YES,,
